plasma subject sex treat
42.8 1 male fed
42.4 1 male fast10
38.9 1 male fast20
43.1 2 male fed
42.2 2 male fast10
40.3 2 male fast20
40.4 3 male fed
40.8 3 male fast10
37.5 3 male fast20
46.6 4 male fed
45.9 4 male fast10
42.9 4 male fast20
42.2 5 female fed
42.4 5 female fast10
39.7 5 female fast20
38.7 6 female fed
38.1 6 female fast10
35.8 6 female fast20
35.3 7 female fed
34.3 7 female fast10
32.3 7 female fast20
40.5 8 female fed
40.1 8 female fast10
37.3 8 female fast20
