tank	temp	incr	id	surf.area	tank.grp	inctime	rate	time.period
2	28	1.03454965	R6	9.348	28.2	36	28.737490278	3
3	28	0.717055231	R7	7.601	28.3	34	21.089859735	1
3	28	0.570361528	R7	7.601	28.3	26	21.936981846	2
3	28	0.822715729	R7	7.601	28.3	36	22.853214694	3
3	25	0.62524344	R8	9.833	25.3	35	17.864098286	1
3	25	0.44726192	R8	9.833	25.3	25	17.8904768	2
3	25	0.88221387	R8	9.833	25.3	34	25.947466765	3
1	28	0.64883753	R9	10.721	28.1	34	19.083456765	1
1	28	0.63345008	R9	10.721	28.1	26	24.363464615	2
1	28	0.53548331	R9	10.721	28.1	36	14.874536389	3
